query,target_cluster,predicted_cluster,ev,isHit,matchedSeed
什么是通货膨胀,definition,definition,1,True,general-concept
区块链技术原理,definition,definition,1,True,general-concept
量子计算机原理,definition,definition,1,True,general-concept
碳中和是什么意思,definition,definition,1,True,general-concept
什么是GPT,definition,definition,1,True,general-concept
什么是ChatGPT,definition,definition,1,True,general-concept
什么是元宇宙,definition,definition,1,True,general-concept
什么是5G技术,definition,definition,1,True,general-concept
什么是云计算,definition,definition,1,True,general-concept
什么是NFT,definition,definition,1,True,general-concept
什么是大数据,definition,definition,1,True,general-concept
人工智能是什么意思,definition,definition,1,True,general-concept
机器学习原理,definition,definition,1,True,general-concept
深度学习本质,definition,definition,1,True,general-concept
神经网络的原理,definition,definition,1,True,general-concept
什么是区块链,definition,definition,1,True,general-concept
什么是算法,definition,definition,1,True,general-concept
什么是编程语言,definition,definition,1,True,general-concept
什么是数据库,definition,definition,1,True,general-concept
加密技术原理,definition,definition,1,True,general-concept
什么是API,definition,definition,1,True,general-concept
什么是操作系统,definition,definition,1,True,general-concept
前端开发是什么意思,definition,definition,1,True,general-concept
后端开发原理,definition,definition,1,True,general-concept
什么是云存储,definition,definition,1,True,general-concept
什么是CDN,definition,definition,1,True,general-concept
什么是Docker,definition,definition,1,True,general-concept
微服务是什么意思,definition,definition,1,True,general-concept
什么是Kubernetes,definition,definition,1,True,general-concept
芯片制造原理,definition,definition,1,True,general-concept
光刻机是什么意思,definition,definition,1,True,general-concept
什么是EDA,definition,definition,1,True,general-concept
什么是RISC-V,definition,definition,1,True,general-concept
ARM架构是什么意思,definition,definition,1,True,general-concept
什么是GPU,definition,definition,1,True,general-concept
什么是TPU,definition,definition,1,True,general-concept
NPU是什么意思,definition,definition,1,True,general-concept
算力是什么意思,definition,definition,1,True,general-concept
什么是量子比特,definition,definition,1,True,general-concept
量子纠缠是什么意思,definition,definition,1,True,general-concept
什么是超导,definition,definition,1,True,general-concept
核聚变原理,definition,definition,1,True,general-concept
什么是光伏,definition,definition,1,True,general-concept
氢能源原理,definition,definition,1,True,general-concept
什么是碳交易,definition,definition,1,True,general-concept
碳足迹是什么意思,definition,definition,1,True,general-concept
ESG是什么意思,definition,definition,1,True,general-concept
什么是碳中和,definition,definition,1,True,general-concept
碳达峰是什么意思,definition,definition,1,True,general-concept
LPR是什么意思,definition,definition,1,True,general-concept
怎样学好英语,how_to,how_to,4,False,
怎样减肥最有效,how_to,how_to,0,True,fitness
怎么选股票,how_to,how_to,0,True,general-skill
基金定投怎么操作,how_to,how_to,0,True,general-skill
怎样提高写作能力,how_to,how_to,0,False,
怎样学好编程,how_to,how_to,0,False,
怎样拍好照片,how_to,how_to,1,False,
怎样做好PPT,how_to,how_to,13,False,
Excel常用技巧 怎么学,how_to,general_mixed,0,True,general-skill
怎样学好数学,how_to,how_to,0,False,
跨境电商怎么做,how_to,how_to,0,True,general-skill
自媒体怎么起步,how_to,how_to,0,True,general-skill
短视频怎么赚钱,how_to,how_to,0,True,general-skill
直播带货需要什么条件,how_to,how_to,0,False,
时间管理方法,how_to,how_to,8,True,time-related
怎样培养好习惯,how_to,how_to,0,False,
怎样学好英语 口语,how_to,how_to,0,False,
雅思怎么备考,how_to,general_mixed,0,True,general-skill
托福怎么准备,how_to,general_mixed,0,True,general-skill
公务员考试怎么复习,how_to,general_mixed,0,True,general-skill
考研需要准备什么,how_to,how_to,0,False,
教师资格证报考条件,how_to,how_to,2,False,
怎么选专业,how_to,how_to,0,True,general-skill
房屋装修流程,how_to,general_mixed,3,False,
公积金怎么提取,how_to,how_to,0,True,general-policy
个人所得税怎么算,how_to,how_to,0,True,general-policy
怎么申请贷款,how_to,financial,0,True,general-skill
怎么买保险,how_to,general_mixed,0,True,general-skill
医疗保险怎么报销,how_to,general_mixed,0,True,general-skill
社保怎么补缴,how_to,general_mixed,0,True,general-skill
户口迁移怎么办理,how_to,general_mixed,0,True,general-skill
护照怎么办理,how_to,general_mixed,0,True,general-skill
怎么办签证,how_to,general_mixed,0,True,general-skill
驾驶证怎么考,how_to,general_mixed,0,True,general-skill
车牌怎么摇号,how_to,general_mixed,0,True,general-skill
怎么选手机,how_to,how_to,0,True,general-skill
怎么选笔记本电脑,how_to,how_to,0,True,computer-general
怎么选空调,how_to,how_to,0,True,general-skill
冰箱怎么选,how_to,general_mixed,0,True,general-skill
电视怎么选,how_to,general_mixed,0,True,general-skill
洗衣机怎么选,how_to,general_mixed,0,True,general-skill
怎么开网店,how_to,general_mixed,0,True,general-skill
怎么做电商,how_to,how_to,0,True,general-skill
怎么做小红书,how_to,how_to,0,True,general-skill
抖音怎么做,how_to,how_to,0,True,general-skill
怎么做直播,how_to,how_to,0,True,general-skill
怎么写文案,how_to,general_mixed,0,True,general-skill
怎么写简历,how_to,general_mixed,0,True,general-skill
怎么准备面试,how_to,general_mixed,0,True,general-skill
怎么谈薪资,how_to,general_mixed,0,True,general-skill
中国GDP最新数据,factual_search,factual_search,17,True,general-fact
全球变暖原因,factual_search,factual_search,1,False,
马斯克是谁,factual_search,factual_search,17,True,general-fact
华为公司最新动态,factual_search,factual_search,2,True,huawei-phone
腾讯有哪些业务,factual_search,factual_search,4,True,enterprise-company
阿里巴巴最新财报,factual_search,corporate_info,4,True,enterprise-company
比特币最新价格,factual_search,financial,0,False,
房贷利率最新政策,factual_search,financial,0,True,general-policy
最新房贷利率,factual_search,financial,0,True,general-policy
现在买房利率多少,factual_search,financial,0,True,general-policy
黄金现在多少钱一克,factual_search,general_mixed,3,False,
美元汇率最新,factual_search,financial,15,False,
人民币汇率走势,factual_search,financial,7,False,
股市最新行情,factual_search,general_mixed,16,False,
上证指数最新,factual_search,general_mixed,18,False,
特斯拉最新销量,factual_search,general_mixed,0,True,enterprise-product
比亚迪销量数据,factual_search,factual_search,0,True,enterprise-product
宁德时代最新动态,factual_search,factual_search,1,False,
大疆最新产品,factual_search,general_mixed,2,False,
OPPO最新手机,factual_search,general_mixed,14,True,phone-general-review
小米最新财报,factual_search,corporate_info,4,True,enterprise-company
网易游戏2025年新游,factual_search,general_mixed,14,False,
瑞幸咖啡门店数量,factual_search,general_mixed,0,False,
美团外卖业务规模,factual_search,factual_search,4,True,enterprise-company
海底捞海外市场情况,factual_search,factual_search,1,False,
拼多多用户数据,factual_search,factual_search,4,False,
EDG电子竞技俱乐部 最新比赛结果,factual_search,general_mixed,0,False,
中国人口最新数据,factual_search,factual_search,17,True,general-fact
2025年就业率数据,factual_search,factual_search,17,False,
最新疫情数据,factual_search,factual_search,3,False,
全球碳排放最新数据,factual_search,factual_search,17,True,general-fact
中国高铁总里程,factual_search,general_mixed,0,False,
中国航天最新进展,factual_search,factual_search,7,False,
SpaceX最新发射,factual_search,general_mixed,14,False,
NASA最新发现,factual_search,general_mixed,25,False,
最新科技新闻,factual_search,general_mixed,8,False,
2025年诺贝尔奖,factual_search,general_mixed,14,False,
奥斯卡最新获奖名单,factual_search,general_mixed,6,False,
全球票房排行榜,factual_search,general_mixed,2,False,
最新电影推荐,factual_search,general_mixed,6,True,movie-recommend
最火电视剧排行,factual_search,general_mixed,2,False,
现在流行什么歌,factual_search,general_mixed,8,True,time-related
抖音热门排行榜,factual_search,general_mixed,4,False,
中国首富是谁,factual_search,factual_search,17,True,general-fact
2025年福布斯排行榜,factual_search,general_mixed,1,False,
最新人工智能突破,factual_search,general_mixed,1,False,
最新芯片工艺进展,factual_search,general_mixed,1,False,
最新新能源政策,factual_search,financial,0,True,general-policy
最新教育改革政策,factual_search,financial,0,True,general-policy
最新房价数据,factual_search,factual_search,9,False,
高血压饮食注意事项,medical_info,medical_info,0,True,diet-advice
糖尿病早期症状,medical_info,medical_info,8,False,
社保断缴有什么影响,medical_info,medical_info,0,False,
感冒症状,medical_info,medical_info,18,False,
发烧怎么办,medical_info,general_mixed,0,True,general-skill
咳嗽吃什么药,medical_info,general_mixed,4,False,
高血压怎么治疗,medical_info,medical_info,5,False,
糖尿病怎么预防,medical_info,medical_info,0,True,general-health
心脏病早期症状,medical_info,medical_info,4,False,
心梗前兆,medical_info,general_mixed,5,False,
脑梗症状,medical_info,medical_info,0,False,
中风前兆,medical_info,general_mixed,20,False,
癌症早期症状,medical_info,medical_info,2,False,
肺癌早期症状,medical_info,medical_info,14,False,
胃癌症状,medical_info,medical_info,14,False,
肝癌症状,medical_info,medical_info,14,False,
抑郁症症状,medical_info,medical_info,18,False,
焦虑症表现,medical_info,general_mixed,10,False,
失眠怎么治疗,medical_info,medical_info,8,False,
为什么睡不着,medical_info,general_mixed,0,False,
腰疼怎么办,medical_info,general_mixed,0,True,general-skill
颈椎病怎么治,medical_info,general_mixed,0,True,general-skill
近视眼怎么恢复,medical_info,general_mixed,0,True,general-skill
