query,source,predicted_cluster,domain_prior,retrieval_boost,ev,isHit
什么是通货膨胀,definition,definition,{},[],1,True
区块链技术原理,definition,definition,{},[],1,True
量子计算机原理,definition,definition,{},[],1,True
碳中和是什么意思,definition,definition,{},[],1,True
什么是GPT,definition,definition,{},[],1,True
什么是ChatGPT,definition,definition,{},[],1,True
什么是元宇宙,definition,definition,{},[],1,True
什么是5G技术,definition,definition,{},[],1,True
什么是云计算,definition,definition,{},[],1,True
什么是NFT,definition,definition,{},[],1,True
什么是大数据,definition,definition,{},[],1,True
人工智能是什么意思,definition,definition,{},[],1,True
机器学习原理,definition,definition,{},[],1,True
深度学习本质,definition,definition,{},[],1,True
神经网络的原理,definition,definition,{},[],1,True
什么是区块链,definition,definition,{},[],1,True
什么是算法,definition,definition,{},[],1,True
什么是编程语言,definition,definition,{},[],1,True
什么是数据库,definition,definition,{},[],1,True
加密技术原理,definition,definition,{},[],1,True
什么是API,definition,definition,{},[],1,True
什么是操作系统,definition,definition,{},[],1,True
前端开发是什么意思,definition,definition,{},[],1,True
后端开发原理,definition,definition,{},[],1,True
什么是云存储,definition,definition,{},[],1,True
什么是CDN,definition,definition,{},[],1,True
什么是Docker,definition,definition,{},[],1,True
微服务是什么意思,definition,definition,{},[],1,True
什么是Kubernetes,definition,definition,{},[],1,True
芯片制造原理,definition,definition,{},[],1,True
光刻机是什么意思,definition,definition,{},[],1,True
什么是EDA,definition,definition,{},[],1,True
什么是RISC-V,definition,definition,{},[],1,True
ARM架构是什么意思,definition,definition,{},[],1,True
什么是GPU,definition,definition,{},[],1,True
什么是TPU,definition,definition,{},[],1,True
NPU是什么意思,definition,definition,{},[],1,True
算力是什么意思,definition,definition,{},[],1,True
什么是量子比特,definition,definition,{},[],1,True
量子纠缠是什么意思,definition,definition,{},[],1,True
什么是超导,definition,definition,{},[],1,True
核聚变原理,definition,definition,{},[],1,True
什么是光伏,definition,definition,{},[],1,True
氢能源原理,definition,definition,{},[],1,True
什么是碳交易,definition,definition,{},[],1,True
碳足迹是什么意思,definition,definition,{},[],1,True
ESG是什么意思,definition,definition,{},[],1,True
什么是碳中和,definition,definition,{},[],1,True
碳达峰是什么意思,definition,definition,{},[],1,True
LPR是什么意思,definition,definition,{},[],1,True
怎样学好英语,how_to,how_to,{},[],4,False
怎样减肥最有效,how_to,how_to,"{""medical"": 0.15}",[],0,True
怎么选股票,how_to,how_to,{},[],0,True
基金定投怎么操作,how_to,how_to,{},[],0,True
怎样提高写作能力,how_to,how_to,{},[],0,False
怎样学好编程,how_to,how_to,{},[],0,False
怎样拍好照片,how_to,how_to,{},[],2,False
怎样做好PPT,how_to,how_to,{},[],13,False
Excel常用技巧 怎么学,how_to,general_mixed,{},[],0,True
怎样学好数学,how_to,how_to,{},[],0,False
跨境电商怎么做,how_to,how_to,{},[],0,True
自媒体怎么起步,how_to,how_to,{},[],0,True
短视频怎么赚钱,how_to,how_to,{},[],0,True
直播带货需要什么条件,how_to,how_to,{},[],0,False
时间管理方法,how_to,how_to,{},[],8,True
怎样培养好习惯,how_to,how_to,{},[],0,False
怎样学好英语 口语,how_to,how_to,{},[],0,False
雅思怎么备考,how_to,general_mixed,{},[],0,True
托福怎么准备,how_to,general_mixed,{},[],0,True
公务员考试怎么复习,how_to,general_mixed,{},[],0,True
考研需要准备什么,how_to,how_to,{},[],0,False
教师资格证报考条件,how_to,how_to,{},[],3,False
怎么选专业,how_to,how_to,{},[],0,True
房屋装修流程,how_to,general_mixed,{},[],2,False
公积金怎么提取,how_to,how_to,{},[],0,True
个人所得税怎么算,how_to,how_to,{},[],0,True
怎么申请贷款,how_to,general_mixed,"{""financial"": 0.15}",[],0,True
怎么买保险,how_to,general_mixed,{},[],0,True
医疗保险怎么报销,how_to,general_mixed,{},[],0,True
社保怎么补缴,how_to,general_mixed,{},[],0,True
户口迁移怎么办理,how_to,general_mixed,{},[],0,True
护照怎么办理,how_to,general_mixed,{},[],0,True
怎么办签证,how_to,general_mixed,{},[],0,True
驾驶证怎么考,how_to,general_mixed,{},[],0,True
车牌怎么摇号,how_to,general_mixed,{},[],0,True
怎么选手机,how_to,how_to,{},[],0,True
怎么选笔记本电脑,how_to,how_to,{},[],0,True
怎么选空调,how_to,how_to,{},[],0,True
冰箱怎么选,how_to,general_mixed,{},[],0,True
电视怎么选,how_to,general_mixed,{},[],0,True
